Date,Supplier,Category,Subcategory,Plant,SKU,Quantity,Unit Price,Spend,Currency,Contract Status,Payment Terms
2025-01-01,PackCo A,Packaging,Corrugated,Curitiba,BOX-004,411,4.13,1697.43,BRL,Active,45
2025-01-01,CorrugaMax,Packaging,Corrugated,Sao Paulo,BOX-017,2119,4.32,9154.08,BRL,Active,45
2025-01-01,EcoPack,Packaging,Corrugated,Curitiba,BOX-020,1549,5.17,8008.33,BRL,Expired,45
2025-01-01,AlphaBox,Packaging,Corrugated,Campinas,BOX-015,2798,3.66,10240.68,BRL,No Contract,30
2025-01-01,CorrugaMax,Packaging,Corrugated,Sao Paulo,BOX-020,1144,5.4,6177.6,BRL,No Contract,45
2025-01-01,BoxBrasil,Packaging,Corrugated,Sao Paulo,BOX-008,1375,3.0,4125.0,BRL,Active,30
2025-01-01,PackCo A,Packaging,Corrugated,Campinas,BOX-004,1443,4.37,6305.91,BRL,Active,45
2025-01-01,LocalFlex,Packaging,Corrugated,Campinas,BOX-018,2119,4.95,10489.05,BRL,Active,60
2025-01-01,CorrugaMax,Packaging,Corrugated,Joinville,BOX-004,2451,4.62,11323.62,BRL,Active,60
2025-01-01,PrimePack,Packaging,Corrugated,Campinas,BOX-016,1027,3.49,3584.23,BRL,Active,60
2025-01-01,PackCo A,Packaging,Corrugated,Curitiba,BOX-012,1173,4.6,5395.8,BRL,Active,45
2025-01-01,BoxBrasil,Packaging,Corrugated,Curitiba,BOX-007,244,2.63,641.72,BRL,Expired,60
2025-01-01,BoxBrasil,Packaging,Corrugated,Sao Paulo,BOX-010,369,3.71,1368.99,BRL,No Contract,45
2025-01-01,PackCo A,Packaging,Corrugated,Curitiba,BOX-011,2108,3.94,8305.52,BRL,Expired,60
2025-01-01,PrimePack,Packaging,Corrugated,Joinville,BOX-018,1662,4.18,6947.16,BRL,Active,45
2025-01-01,AlphaBox,Packaging,Corrugated,Sao Paulo,BOX-013,433,5.41,2342.53,BRL,Active,45
2025-01-01,BoxBrasil,Packaging,Corrugated,Curitiba,BOX-012,2724,4.37,11903.88,BRL,Expired,30
2025-01-01,BoxBrasil,Packaging,Corrugated,Campinas,BOX-010,1454,3.86,5612.44,BRL,Active,60
2025-01-01,SulCaixas,Packaging,Corrugated,Sao Paulo,BOX-006,488,4.87,2376.56,BRL,No Contract,60
2025-01-01,BoxBrasil,Packaging,Corrugated,Campinas,BOX-011,490,4.38,2146.2,BRL,Active,45
2025-01-01,CorrugaMax,Packaging,Corrugated,Campinas,BOX-014,2249,3.13,7039.37,BRL,No Contract,30
2025-01-01,EcoPack,Packaging,Corrugated,Curitiba,BOX-009,2860,3.66,10467.6,BRL,Active,45
2025-01-01,CorrugaMax,Packaging,Corrugated,Sao Paulo,BOX-008,2391,3.31,7914.21,BRL,No Contract,60
2025-01-01,BoxBrasil,Packaging,Corrugated,Curitiba,BOX-017,2887,3.71,10710.77,BRL,Active,45
2025-01-01,CorrugaMax,Packaging,Corrugated,Curitiba,BOX-001,1008,3.21,3235.68,BRL,Active,45
2025-01-01,PackCo A,Packaging,Corrugated,Sao Paulo,BOX-008,2340,3.18,7441.2,BRL,Active,30
2025-01-01,PrimePack,Packaging,Corrugated,Curitiba,BOX-014,1329,2.68,3561.72,BRL,Active,30
2025-01-01,CorrugaMax,Packaging,Corrugated,Curitiba,BOX-013,2675,4.92,13161.0,BRL,Active,60
2025-01-01,CorrugaMax,Packaging,Corrugated,Sao Paulo,BOX-012,720,4.72,3398.4,BRL,No Contract,30
2025-01-01,SulCaixas,Packaging,Corrugated,Campinas,BOX-019,2432,4.65,11308.8,BRL,Active,90
2025-01-01,BoxBrasil,Packaging,Corrugated,Joinville,BOX-006,1869,4.75,8877.75,BRL,Expired,60
2025-01-01,EcoPack,Packaging,Corrugated,Joinville,BOX-017,694,4.45,3088.3,BRL,Active,45
2025-01-01,PackCo A,Packaging,Corrugated,Joinville,BOX-008,1430,3.41,4876.3,BRL,Active,45
2025-01-01,PackCo A,Packaging,Corrugated,Curitiba,BOX-001,412,3.14,1293.68,BRL,No Contract,45
2025-01-01,BoxBrasil,Packaging,Corrugated,Sao Paulo,BOX-009,1989,3.38,6722.82,BRL,Active,60
2025-01-01,CorrugaMax,Packaging,Corrugated,Joinville,BOX-018,1769,4.64,8208.16,BRL,Active,30
2025-01-01,CorrugaMax,Packaging,Corrugated,Joinville,BOX-018,2210,4.69,10364.9,BRL,No Contract,30
2025-01-01,CorrugaMax,Packaging,Corrugated,Sao Paulo,BOX-018,1939,4.35,8434.65,BRL,Active,45
2025-01-01,AlphaBox,Packaging,Corrugated,Joinville,BOX-020,2384,5.82,13874.88,BRL,No Contract,60
2025-01-01,BoxBrasil,Packaging,Corrugated,Campinas,BOX-003,1137,3.96,4502.52,BRL,Expired,45
2025-01-01,BoxBrasil,Packaging,Corrugated,Campinas,BOX-010,1265,3.95,4996.75,BRL,Active,30
2025-01-01,CorrugaMax,Packaging,Corrugated,Campinas,BOX-019,1310,4.99,6536.9,BRL,Active,30
2025-01-01,BoxBrasil,Packaging,Corrugated,Campinas,BOX-015,543,3.08,1672.44,BRL,No Contract,60
2025-01-01,PackCo A,Packaging,Corrugated,Joinville,BOX-019,2864,4.82,13804.48,BRL,No Contract,45
2025-01-01,BoxBrasil,Packaging,Corrugated,Sao Paulo,BOX-011,2085,3.93,8194.05,BRL,Active,60
2025-01-01,LocalFlex,Packaging,Corrugated,Sao Paulo,BOX-018,434,4.9,2126.6,BRL,No Contract,45
2025-01-01,EcoPack,Packaging,Corrugated,Joinville,BOX-018,2248,4.86,10925.28,BRL,No Contract,60
2025-01-01,CorrugaMax,Packaging,Corrugated,Campinas,BOX-020,1600,4.95,7920.0,BRL,No Contract,30
2025-01-01,BoxBrasil,Packaging,Corrugated,Campinas,BOX-008,510,3.09,1575.9,BRL,Active,30
2025-01-01,BoxBrasil,Packaging,Corrugated,Campinas,BOX-005,374,4.37,1634.38,BRL,Active,60
2025-02-01,PackCo A,Packaging,Corrugated,Sao Paulo,BOX-009,834,3.46,2885.64,BRL,No Contract,45
2025-02-01,EcoPack,Packaging,Corrugated,Campinas,BOX-005,613,4.94,3028.22,BRL,No Contract,60
2025-02-01,AlphaBox,Packaging,Corrugated,Campinas,BOX-004,1774,4.96,8799.04,BRL,Active,60
2025-02-01,BoxBrasil,Packaging,Corrugated,Curitiba,BOX-015,1910,2.96,5653.6,BRL,Active,60
2025-02-01,CorrugaMax,Packaging,Corrugated,Curitiba,BOX-008,2010,3.18,6391.8,BRL,Active,90
2025-02-01,BoxBrasil,Packaging,Corrugated,Curitiba,BOX-005,754,3.96,2985.84,BRL,Active,45
2025-02-01,BoxBrasil,Packaging,Corrugated,Joinville,BOX-015,2043,3.16,6455.88,BRL,Active,45
2025-02-01,PackCo A,Packaging,Corrugated,Sao Paulo,BOX-015,2229,3.09,6887.61,BRL,Active,90
2025-02-01,PrimePack,Packaging,Corrugated,Curitiba,BOX-003,1018,3.7,3766.6,BRL,No Contract,60
2025-02-01,SulCaixas,Packaging,Corrugated,Campinas,BOX-004,1126,4.49,5055.74,BRL,Expired,30
2025-02-01,CorrugaMax,Packaging,Corrugated,Curitiba,BOX-013,320,4.72,1510.4,BRL,Active,90
2025-02-01,PackCo A,Packaging,Corrugated,Sao Paulo,BOX-012,435,4.52,1966.2,BRL,Active,45
2025-02-01,CorrugaMax,Packaging,Corrugated,Curitiba,BOX-005,2864,4.54,13002.56,BRL,Active,60
2025-02-01,EcoPack,Packaging,Corrugated,Joinville,BOX-003,1885,4.3,8105.5,BRL,Active,60
2025-02-01,LocalFlex,Packaging,Corrugated,Sao Paulo,BOX-018,1946,4.8,9340.8,BRL,Active,45
2025-02-01,PrimePack,Packaging,Corrugated,Joinville,BOX-019,2825,4.73,13362.25,BRL,Active,45
2025-02-01,SulCaixas,Packaging,Corrugated,Sao Paulo,BOX-013,1226,5.09,6240.34,BRL,Active,60
2025-02-01,PrimePack,Packaging,Corrugated,Sao Paulo,BOX-011,1360,3.97,5399.2,BRL,Active,90
2025-02-01,CorrugaMax,Packaging,Corrugated,Joinville,BOX-008,824,3.37,2776.88,BRL,Active,90
2025-02-01,EcoPack,Packaging,Corrugated,Campinas,BOX-006,2581,5.28,13627.68,BRL,No Contract,30
2025-02-01,BoxBrasil,Packaging,Corrugated,Joinville,BOX-016,2892,3.58,10353.36,BRL,Active,60
2025-02-01,BoxBrasil,Packaging,Corrugated,Campinas,BOX-004,205,4.2,861.0,BRL,Active,30
2025-02-01,BoxBrasil,Packaging,Corrugated,Joinville,BOX-003,1182,3.91,4621.62,BRL,Expired,60
